Comment,Designator,Footprint,LCSC Part #(optional)
10uF 16V,"C17,C18,C20,C30,C40",0603_C,C19702
1uF 25V,"C2,C3,C4,C7,C8,C9,C10,C16,C19,C34",0603_C,C15849
100pF 16V,"C21,C24,C25,C26,C29,C41,C42",0603_C,C14858
0.1uF 25V,"C6,C22,C23,C35,C39",0603_C,C14663
0.01uF 100V,"C36,C37,C38",0805_C,C22423
Zener 16V,"D9,D10,D11,D12,D13,D14",SOD-323_D,C150089
0603 LED,"D19,D20,D21",0603_D,C2286
Schottky diode,D22,SOD-323F_D,C2128
Schottky,"D1,D2,D3",SOD-123FL_D,C64898
Zener_3v3,"D5,D6,D7,D8",SOD-323_D,C145245
MOSFET,"Q1,Q2,Q3,Q4,Q5,Q6",TO263-2_Q,C410926
150?,"R5,R16,R18,R54",0603_R,C22808
15k?,R19,0603_R,C22809
4k7?,"R4,R15,R17,R20,R34,R35,R46,R49,R50,R51",0603_R,C23162
5?,"R2,R3,R6,R7,R8,R9,R10,R11,R12,R21,R22",0603_R,C23164
82k?,"R24,R29,R31,R33",0805_R,C17840
2M?,"R1,R13,R14,R25,R26,R27",2512_R,C60923
1k5?,"R23,R28,R30,R32,R36,R37,R38,R39,R40,R41,R42,R53",0603_R,C22843
1?,"R43,R44,R45",0805_R,C25271
100?,"R47,R48",0603_R,C22775
30k?,R52,0603_R,C22984
STM32F303CB,U2,LQFP-48_7.0x7.0x0.5P,C108516
TPS76333,U6,SOT-323-5_U,C110463
TPS61041DDC,U8,SOT-323-5_U,C7722
OSCILLATORS 8MHz,X1,SMD-OSC-3225_4P,C70556
